Título ,Quantidade,Preço Unitário ,Valor investido ,Indexador,Percentual Indexado ,Data de Aplicação / Resgate,Vencimento
Tesouro Prefixado 2026,-12.29,938.21,-11530.6009,Pré Fixado,"10,19% a.a",2025-07-22,2026-01-01
Tesouro Prefixado 2026,12.29,813.82,10001.8478,Pré Fixado,"10,19% a.a",2023-11-20,2026-01-01
Tesouro Selic 2026,-0.13,13824.44,-1797.1772,Selic (pós-fixado),"100% da Selic + 0,045% a.a.",2023-09-22,2026-03-01
Tesouro Selic 2026,-0.01,13824.44,-138.2444,Selic (pós-fixado),"100% da Selic + 0,045% a.a.",2023-09-22,2026-03-01
Tesouro Selic 2026,0.14,13794.25,1931.1950000000002,Selic (pós-fixado),"100% da Selic + 0,045% a.a.",2023-09-14,2026-03-01
