Título ,Emissor,Quantidade,Preço Unitário ,Valor investido ,Indexador,Percentual Indexado ,Data de Aplicação / Resgate,Vencimento,Juros ,Amortização 
CRI 23K0022043,TRUE Securitizadora S.A.,8,1024.4359690000001,8195.487752000001,IPCA,"IPCA + 7,3%",2024-04-22,2030-11-18,Semestral ,Anual 
CRI 22J0306937,VERT Securitizadora,13,1047.078692,13612.022996,IPCA,"IPCA + 7,2%",2024-04-22,2029-10-15,Semestral,Vencimento 
